task_id,time,predecessors
T0001,1673,
T0002,985,T0001
T0003,1836,T0002
T0004,973,T0002
T0005,1700,T0002
T0006,2881,T0003|T0004
T0007,2231,T0004
T0008,1040,T0005
T0009,1793,T0006
T0010,1250,T0006
T0011,700,T0007
T0012,464,T0009
T0013,500,T0010
T0014,1133,T0010
T0015,577,T0011
T0016,483,T0012
T0017,880,T0013
T0018,667,T0013
T0019,600,T0014
T0020,233,T0013|T0015
T0021,408,T0017
T0022,847,T0017
T0023,767,T0018
T0024,850,T0019
T0025,780,T0010
T0026,912,T0020
T0027,748,T0021|T0022
T0028,1863,T0017|T0024
T0029,714,T0024
T0030,1004,T0029
T0031,713,T0030
T0032,642,T0025|T0028
T0033,629,T0032
T0034,1234,T0032
T0035,1143,T0032
T0036,1266,T0032
T0037,792,T0033
T0038,1251,T0036
T0039,1310,T0015|T0031|T0036
T0040,663,T0037
T0041,494,T0038
T0042,1288,T0039
T0043,792,T0039
T0044,578,T0039
T0045,594,T0041
T0046,578,T0044
T0047,622,T0045
T0048,578,T0046
T0049,564,T0047
T0050,578,T0048
T0051,578,T0050
T0052,578,T0051
T0053,578,T0052
T0054,578,T0053
T0055,578,T0054
T0056,578,T0055
T0057,578,T0056
T0058,578,T0057
T0059,578,T0058
T0060,578,T0059
T0061,578,T0060
T0062,578,T0061
T0063,578,T0062
T0064,578,T0063
T0065,578,T0064
T0066,578,T0065
T0067,578,T0066
T0068,578,T0067
T0069,467,T0027|T0049
T0070,887,T0069
T0071,396,T0069
T0072,1296,T0070
T0073,1100,T0071|T0072
T0074,2543,T0023|T0026|T0068|T0073
T0075,764,T0039|T0068|T0073
T0076,357,T0074|T0075
T0077,701,T0008|T0016|T0034|T0035|T0040|T0042|T0043|T0076
T0078,1164,T0008|T0016|T0034|T0035|T0040|T0042|T0043|T0076
T0079,286,T0077|T0078
T0080,2100,T0079
T0081,450,T0079
T0082,1300,T0080
T0083,3691,T0081|T0082
