task_id,time,predecessors
T0001,270,
T0002,270,T0001
T0003,130,T0002
T0004,148,T0003
T0005,190,T0004
T0006,293,T0005
T0007,348,T0006
T0008,182,T0006
T0009,490,T0006
T0010,212,T0006
T0011,248,T0007|T0008|T0009|T0010
T0012,248,T0007|T0008|T0009|T0010
T0013,248,T0007|T0008|T0009|T0010
T0014,248,T0007|T0008|T0009|T0010
T0015,248,T0007|T0008|T0009|T0010
T0016,268,T0011
T0017,268,T0012
T0018,268,T0013
T0019,288,T0014
T0020,248,T0007|T0008|T0009|T0010
T0021,268,T0015
T0022,60,T0004
T0023,268,T0016|T0017|T0018|T0019|T0020|T0021
T0024,240,T0022
T0025,240,T0022
T0026,171,T0004
T0027,490,T0004
T0028,182,T0023
T0029,170,T0024|T0025
T0030,306,T0026
T0031,108,T0027
T0032,248,T0028
T0033,190,T0029
T0034,240,T0030|T0031
T0035,339,T0034
T0036,288,T0032
T0037,248,T0028
T0038,455,T0033
T0039,268,T0036|T0037
T0040,270,T0004
T0041,180,T0038
T0042,121,T0035
T0043,270,T0039
T0044,440,T0029|T0040
T0045,249,T0041
T0046,194,T0042
T0047,162,T0043
T0048,130,T0004
T0049,388,T0044
T0050,90,T0045
T0051,212,T0046
T0052,246,T0047|T0048
T0053,188,T0049
T0054,270,T0050
T0055,160,T0051
T0056,79,T0004
T0057,466,T0052
T0058,240,T0053|T0054
T0059,137,T0055
T0060,184,T0056
T0061,110,T0056
T0062,275,T0057
T0063,149,T0057
T0064,280,T0058|T0059
T0065,119,T0061
T0066,184,T0062
T0067,140,T0063
T0068,150,T0060
T0069,190,T0065|T0066
T0070,150,T0067
T0071,150,T0057
T0072,284,T0064
T0073,192,T0068
T0074,347,T0069
T0075,232,T0070
T0076,140,T0057
T0077,608,T0071
T0078,80,T0072
T0079,40,T0078
T0080,130,T0078
T0081,110,T0051
T0082,350,T0031
T0083,140,T0004
T0084,240,T0040|T0073|T0074|T0075|T0076|T0077
T0085,240,T0079|T0080
T0086,90,T0004
T0087,54,T0081
T0088,294,T0082
T0089,203,T0082
T0090,150,T0083
T0091,270,T0084
T0092,155,T0085
T0093,190,T0086
T0094,78,T0004
T0095,140,T0090
T0096,241,T0091
