task_id,time,predecessors
T01,8,
T02,11,
T03,14,
T04,17,
T05,20,
T06,23,
T07,26,T01|T03|T06
T08,29,T02
T09,32,T06
T10,35,T06
T11,38,T01|T04|T05
T12,41,T01
T13,54,T02
T14,47,T05
T15,5,T01|T04|T09
T16,8,T09|T11|T12
T17,11,T04|T08
T18,14,T01|T05|T13
T19,17,T12
T20,20,T05|T06
T21,23,T04
T22,26,T02|T14
T23,29,T02|T06
T24,32,T05|T10
T25,35,T21
T26,48,T09|T10|T19
T27,41,T13|T16|T18
T28,44,T08|T09|T14
T29,47,T09|T14
T30,5,T19
T31,8,T18|T21
T32,11,T18
T33,14,T13|T15
T34,17,T09|T12|T14
T35,20,T29
T36,23,T23|T32
T37,26,T25
T38,29,T22
T39,42,T25
T40,35,T17|T23
T41,38,T33
T42,41,T21|T25|T30
T43,44,T19|T29
T44,47,T19|T22
T45,5,T33|T42|T44
T46,8,T37|T38|T43
T47,11,T29|T32
T48,14,T26|T27|T40
T49,17,T29
T50,20,T27|T30|T38
T51,23,T37|T39
T52,36,T25|T33|T42
T53,29,T38|T43|T45
T54,32,T44
T55,35,T40|T49
T56,38,T43
T57,41,T38|T40|T51
T58,44,T41|T44|T51
T59,47,T50
T60,5,T53
