task_id,time,predecessors
T0001,4,
T0002,5,
T0003,6,
T0004,7,
T0005,8,
T0006,9,
T0007,10,
T0008,11,
T0009,12,
T0010,13,
T0011,14,
T0012,15,
T0013,16,
T0014,17,
T0015,18,
T0016,19,
T0017,35,
T0018,21,
T0019,22,
T0020,23,
T0021,24,
T0022,25,
T0023,26,
T0024,27,
T0025,28,
T0026,29,
T0027,30,
T0028,31,
T0029,32,
T0030,33,
T0031,34,
T0032,35,
T0033,36,
T0034,52,
T0035,38,
T0036,39,
T0037,40,
T0038,41,
T0039,42,
T0040,43,
T0041,44,
T0042,45,
T0043,46,
T0044,47,
T0045,48,
T0046,49,
T0047,50,
T0048,51,
T0049,52,
T0050,53,T0003|T0043
T0051,69,T0018
T0052,55,T0020
T0053,56,T0030
T0054,57,T0037
T0055,58,T0023|T0049
T0056,59,T0022|T0038
T0057,60,T0003|T0031
T0058,3,T0011|T0039
T0059,4,T0034|T0047
T0060,5,T0018|T0019
T0061,6,T0012
T0062,7,T0008|T0028
T0063,8,T0007|T0025|T0032
T0064,9,T0013|T0017|T0042
T0065,10,T0007|T0045
T0066,11,T0011|T0018|T0038
T0067,12,T0047
T0068,28,T0029|T0047
T0069,14,T0006
T0070,15,T0004|T0014
T0071,16,T0003|T0015
T0072,17,T0006|T0021|T0045
T0073,18,T0005|T0030
T0074,19,T0005|T0017|T0045
T0075,20,T0007|T0013
T0076,21,T0013|T0046
T0077,22,T0016|T0033
T0078,23,T0014|T0033
T0079,24,T0012|T0027|T0038
T0080,25,T0020
T0081,26,T0023
T0082,27,T0010|T0032|T0036
T0083,28,T0009|T0022
T0084,29,T0004
T0085,45,T0010|T0011|T0035
T0086,31,T0046
T0087,32,T0001|T0011
T0088,33,T0008|T0082|T0087
T0089,34,T0019
T0090,35,T0006
T0091,36,T0042|T0051
T0092,37,T0087
T0093,38,T0036|T0069
T0094,39,T0039|T0041|T0055
T0095,40,T0020|T0069|T0074
T0096,41,T0034
T0097,42,T0052|T0053
T0098,43,T0015|T0036|T0068
T0099,44,T0028|T0036|T0049
T0100,45,T0051|T0076
T0101,46,T0045
T0102,62,T0030|T0063
T0103,48,T0049
T0104,49,T0001|T0010
T0105,50,T0039|T0051
T0106,51,T0024|T0062
T0107,52,T0062|T0081
T0108,53,T0037
T0109,54,T0048|T0077|T0084
T0110,55,T0022|T0027
T0111,56,T0059|T0073|T0086
T0112,57,T0004|T0085
T0113,58,T0014|T0060|T0085
T0114,59,T0047
T0115,60,T0009|T0018
T0116,3,T0038|T0043|T0045
T0117,4,T0043|T0075
T0118,5,T0074|T0087|T0115
T0119,21,T0059|T0076|T0085
T0120,7,T0092|T0115
T0121,8,T0084|T0108
T0122,9,T0117
T0123,10,T0065|T0081|T0082
T0124,11,T0053|T0067
T0125,12,T0054|T0055
T0126,13,T0069
T0127,14,T0095|T0116
T0128,15,T0058|T0115
T0129,16,T0083|T0112
