task_id,station
T0001,1
T0003,1
T0004,1
T0005,1
T0006,1
T0007,1
T0009,1
T0010,1
T0011,1
T0012,1
T0013,1
T0014,1
T0016,1
T0018,1
T0019,1
T0020,1
T0021,1
T0022,1
T0023,1
T0025,1
T0027,1
T0028,1
T0029,1
T0030,1
T0032,1
T0033,1
T0034,1
T0035,1
T0036,1
T0037,1
T0038,1
T0039,1
T0041,1
T0042,1
T0045,1
T0046,1
T0047,1
T0049,1
T0051,1
T0052,1
T0053,1
T0054,1
T0055,1
T0058,1
T0059,1
T0060,1
T0063,1
T0065,1
T0066,1
T0067,1
T0068,1
T0069,1
T0070,1
T0072,1
T0073,1
T0075,1
T0076,1
T0077,1
T0078,1
T0080,1
T0081,1
T0082,1
T0083,1
T0084,1
T0085,1
T0086,1
T0087,1
T0090,1
T0091,1
T0092,1
T0093,1
T0102,1
T0110,1
T0111,1
T0112,1
T0113,1
T0114,1
T0115,1
T0120,1
T0126,1
T0128,1
T0129,1
T0133,1
T0143,1
T0144,1
T0145,1
T0148,1
T0149,1
T0153,1
T0154,1
T0157,1
T0158,1
T0161,1
T0163,1
T0170,1
T0171,1
T0175,1
T0210,1
T0212,1
T0213,1
T0223,1
T0249,1
T0008,2
T0015,2
T0017,2
T0024,2
T0043,2
T0048,2
T0050,2
T0056,2
T0062,2
T0071,2
T0074,2
T0079,2
T0089,2
T0094,2
T0095,2
T0096,2
T0097,2
T0098,2
T0100,2
T0104,2
T0105,2
T0106,2
T0107,2
T0108,2
T0109,2
T0116,2
T0117,2
T0118,2
T0119,2
T0121,2
T0122,2
T0123,2
T0124,2
T0127,2
T0130,2
T0132,2
T0136,2
T0138,2
T0139,2
T0140,2
T0141,2
T0142,2
T0147,2
T0150,2
T0159,2
T0162,2
T0164,2
T0167,2
T0168,2
T0174,2
T0176,2
T0177,2
T0178,2
T0182,2
T0184,2
T0186,2
T0190,2
T0192,2
T0193,2
T0196,2
T0197,2
T0200,2
T0201,2
T0204,2
T0205,2
T0208,2
T0209,2
T0211,2
T0216,2
T0217,2
T0219,2
T0221,2
T0224,2
T0233,2
T0235,2
T0236,2
T0237,2
T0238,2
T0241,2
T0243,2
T0244,2
T0245,2
T0250,2
T0254,2
T0259,2
T0262,2
T0263,2
T0266,2
T0271,2
T0272,2
T0279,2
T0280,2
T0283,2
T0286,2
T0291,2
T0293,2
T0294,2
T0295,2
T0300,2
T0303,2
T0305,2
T0309,2
T0319,2
T0326,2
T0328,2
T0350,2
T0362,2
T0375,2
T0376,2
T0391,2
T0472,2
T0137,3
T0151,3
T0152,3
T0155,3
T0188,3
T0191,3
T0194,3
T0198,3
T0202,3
T0215,3
T0220,3
T0222,3
T0231,3
T0232,3
T0234,3
T0247,3
T0248,3
T0251,3
T0252,3
T0253,3
T0257,3
T0260,3
T0261,3
T0265,3
T0267,3
T0268,3
T0274,3
T0277,3
T0287,3
T0288,3
T0292,3
T0297,3
T0298,3
T0299,3
T0301,3
T0306,3
T0307,3
T0308,3
T0310,3
T0311,3
T0312,3
T0313,3
T0315,3
T0316,3
T0318,3
T0321,3
T0322,3
T0323,3
T0327,3
T0332,3
T0337,3
T0341,3
T0344,3
T0347,3
T0349,3
T0351,3
T0354,3
T0355,3
T0360,3
T0363,3
T0364,3
T0365,3
T0366,3
T0367,3
T0369,3
T0371,3
T0378,3
T0379,3
T0384,3
T0386,3
T0387,3
T0388,3
T0395,3
T0398,3
T0399,3
