t,best,bound
0.365046947,64363.0,0.0
4.860352881,64363.0,3219.0
16.886103091,13094.0,3219.0
21.120159903,12680.0,3219.0
83.852355499,9365.0,3219.0
137.662623177,9363.0,3219.0
206.426471994,9095.0,3219.0
227.918821206,6911.0,3219.0
279.793656808,5999.0,3219.0
319.625679345,4986.0,3219.0
364.564043619,4594.0,3219.0
415.907358631,4496.0,3219.0
470.813739489,4350.0,3219.0
515.574427880,4307.0,3219.0
522.605571479,4016.0,3219.0
548.008370998,3950.0,3219.0
590.017669217,3908.0,3219.0
597.073408705,3757.0,3219.0
645.833559769,3385.0,3219.0
660.055660643,3374.0,3219.0
668.094083043,3349.0,3219.0
668.098660827,3348.0,3219.0
668.210109751,3224.0,3224.0
